Product Title,Old Price,New Price,Total Offers
"[2022] HIDevolution ASUS ROG Zephyrus M16 GU603ZW 16"" WQXGA 165Hz, 1.8 GHz i9-12900H, RTX 3070 Ti, 16 GB 4800MHz RAM, 1 TB PCIe SSD",N/A,"$ 2,249.00",148 Offers
"XPC 2022 MSI Raider GE66 12UHS-235 Gaming Laptop (Intel Core i9-12900HK, 64GB DDR5 RAM, 2TB 970 EVO PLUS NVMe SSD, RTX 3080 Ti 16GB, 15.6"" 4K UHD, Windows 11) Gamer Notebook Computer",N/A,"$ 3,969.00",4 Offers
"MSI GP Series Vector GP66 12UHSO-654 15.6"" 360 Hz Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,599.00",7 Offers
"ASUS TUF Gaming Laptop 15.6"" FHD Display, Intel Core i7-12650H, NVIDIA GeForce RTX 3070, 32GB DDR5 RAM, 2TB SSD, Wi-Fi 6, Backlit Keyboard, Windows 11 Home, Bundle With Laptop Stand",N/A,"$ 1,669.99",
"MSI GP Series Vector GP76 12UHSO-877 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,549.00",6 Offers
"[2022] HIDevolution MSI Creator Z16P B12UGST 16"" QHD+ 165Hz Touch, 1.7 GHz i7-12700H, RTX 3070 Ti, 16 GB 4800MHz RAM, 1 TB PCIe SSD",N/A,"$ 2,699.00",166 Offers
"MSI GP Series Vector GP76 12UHSO-877 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,549.00",6 Offers
"Acer Predator Helios 300 PH315-55s-90K9 15.6"" 60Hz 3D IPS Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3080 Laptop GPU 32GB Memory 2 TB SSD Windows 11 Home Gaming Laptop",N/A,"$ 3,499.99",
"MSI GP Series Vector GP76 12UGS-608 17.3"" 360 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 32GB Memory 2 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,999.00",7 Offers
"MSI GS Series Stealth GS66 12UGS-297US 15.6"" 240 Hz Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 32GB Memory 1 TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,621.95",4 Offers
